date read,tank,sample location,dilution X,R2A media,half plate count TSA W SB,full plate,comments,hours,count x dil,sample size,total CFU,assumed sys health,comments,Bactiquant value,
4/5/17,F Tank 2,,10,,,2976,spreader method,,29760,,297600,3,found door to incubator opened time undetermined,,
4/5/17,Gooseneck tank,,10,,,858,spreader method,,8580,,85800,1,found door to incubator opened time undetermined,,
4/5/17,P1 high ,,10,,,3938,spreader method,,39380,,393800,2,found door to incubator opened time undetermined,,
4/5/17,P1 low ,,10,,,3104,spreader method,,31040,,310400,2,found door to incubator opened time undetermined,,
4/5/17,P1 Tank ,,10,,,7008,spreader method,,70080,,700800,2,found door to incubator opened time undetermined,,
4/5/17,P2 high ,,10,,,168,spreader method,,1680,,16800,1,found door to incubator opened time undetermined,,
4/5/17,P2 low ,,10,,,36,spreader method,,360,,3600,1,found door to incubator opened time undetermined,,
4/5/17,P2 Tank ,,10,,,124,spreader method,,1240,,12400,1,found door to incubator opened time undetermined,,
4/5/17,P5.5 Town Sump,,10,,,312,spreader method,,3120,,31200,1,found door to incubator opened time undetermined,,
4/5/17,P5.5 Well Sump,,10,,,296,spreader method,,2960,,29600,,found door to incubator opened time undetermined,,
4/5/17,P6 high ,,10,,,584,spreader method,,5840,,58400,2,,,
4/5/17,P6 low ,,10,,,256,spreader method,,2560,,25600,2,,,
4/5/17,P6 Tank ,,10,,,208,spreader method,,2080,,20800,2,found door to incubator opened time undetermined,,
4/5/17,P7 High,,10,,,40,spreader method,,400,,4000,1,found door to incubator opened time undetermined,,
4/5/17,P7 low,,10,,,64,spreader method,,640,,6400,1,found door to incubator opened time undetermined,,
4/5/17,P7 Tank ,,10,,,48,spreader method,,480,,4800,1,found door to incubator opened time undetermined,,
4/5/17,well 2,,1,,,2,spreader method,,2,,20,,found door to incubator opened time undetermined,,
4/5/17,well 3,,1,,,48,spreader method,,48,,480,,found door to incubator opened time undetermined,,
4/6/17,E Bio North,,10,,,304,spreader method,,3040,,30400,,,,
4/6/17,E Bio South,,10,,,64,spreader method,,640,,6400,,,,
4/12/17,A high ,,10,,,200,,,2000,,20000,,,,
4/12/17,A low ,,10,,,3,,,30,,300,,,,
4/12/17,A Tank 6,,10,,,108,,,1080,,10800,,,,
4/12/17,B high ,,10,,,128,,,1280,,12800,,,,
4/12/17,B low ,,10,,,0,,,0,,0,,,,
4/12/17,B Tank 6,,10,,,98,,,980,,9800,,,,
4/12/17,C high ,,10,,,138,,,1380,,13800,,,,
4/12/17,C low ,,10,,,128,,,1280,,12800,,,,
4/12/17,C Tank 1,,10,,,168,,,1680,,16800,,No floc no zone,,
4/12/17,D high ,,10,,,560,,,5600,,56000,,,,
4/12/17,D low ,,10,,,420,,,4200,,42000,,,,
4/12/17,D Tank 3,,10,,,848,,,8480,,84800,,,,
4/12/17,E Bio North,,10,,,296,,,2960,,29600,,,,
4/12/17,E Bio South,,10,,,68,,,680,,6800,,,,
4/12/17,E high ,,10,,,136,,,1360,,13600,,,,
4/12/17,E low ,,10,,,92,,,920,,9200,,,,
4/12/17,E Tank 3,,10,,,112,,,1120,,11200,,,,
4/12/17,F high ,,10,,,1264,,,12640,,126400,,,,
4/12/17,F low ,,10,,,1104,,,11040,,110400,,1/3 of last week still high,,
4/12/17,F Tank 2,,10,,,1296,,,12960,,129600,,,,
4/12/17,P1 Bio overflow/top,,10,,,36,,,360,,3600,,,,
4/12/17,P1 high ,,10,,,64,,,640,,6400,,,,
4/12/17,P1 low ,,10,,,68,,,680,,6800,,way down from last week,,
4/12/17,P1 Sump post drum,,10,,,68,,,680,,6800,,,,
4/12/17,P1 Tank ,,10,,,92,,,920,,9200,,,,
4/12/17,P2 Bio overflow/top,,10,,,148,,,1480,,14800,,,,
4/12/17,P2 high ,,10,,,48,,,480,,4800,,,,
4/12/17,P2 low ,,10,,,72,,,720,,7200,,,,
4/12/17,P2 Sump post drum,,10,,,132,,,1320,,13200,,,,
4/12/17,P2 Tank ,,10,,,72,,,720,,7200,,,,
4/12/17,P5.5 Town Sump,,10,,,1250,,,12500,,125000,,,,
4/12/17,P5.5 Well Sump,,10,,,1520,,,15200,,152000,,bacteria increase,,
4/12/17,P6 Bio overflow/top,,10,,,40,,,400,,4000,,,,
4/12/17,P6 high ,,10,,,168,,,1680,,16800,,,,
4/12/17,P6 low ,,10,,,128,,,1280,,12800,,,,
4/12/17,P6 Sump post drum,,10,,,168,,,1680,,16800,,,,
4/12/17,P6 Tank ,,10,,,32,,,320,,3200,,,,
4/12/17,P7 Bio overflow/top,,10,,,1156,,,11560,,115600,,,,
4/12/17,P7 High,,10,,,424,,,4240,,42400,,getting high,,
4/12/17,P7 low,,10,,,820,,,8200,,82000,,bacteria increase,,
4/12/17,P7 Sump post drum,,10,,,1312,,,13120,,131200,,no reduction ,,
4/12/17,P7 Tank ,,10,,,976,,,9760,,97600,,water quality detiriorated?,,
4/12/17,,,,,,,,,0,,0,,water quality detiriorated?,,
4/19/17,A high ,,10,,,336,,,3360,,33600,,,,
4/19/17,A low ,,10,,,3,,,30,,300,,,,
4/19/17,A Tank 1,,10,,,48,,,480,,4800,,,,
4/19/17,B high ,,10,,,3392,,,33920,,339200,,"system empty of fish, and sterilized recently",,
4/19/17,B low ,,10,,,2432,,,24320,,243200,,,,
4/19/17,B Tank 1,,10,,,1152,,,11520,,115200,,,,
4/19/17,C high ,,10,,,1008,,,10080,,100800,,,,
4/19/17,C low ,,10,,,768,,,7680,,76800,,,,
4/19/17,C Tank 1,,10,,,1280,,,12800,,128000,,,,
4/19/17,D high ,,10,,,208,,,2080,,20800,,,,
4/19/17,D low ,,10,,,52,,,520,,5200,,,,
4/19/17,D Tank 3,,10,,,208,,,2080,,20800,,,,
4/19/17,E high ,,10,,,192,,,1920,,19200,,,,
4/19/17,E low ,,10,,,72,,,720,,7200,,,,
4/19/17,E Tank 2,,10,,,124,,,1240,,12400,,,,
4/19/17,F high ,,10,,,2016,,,20160,,201600,,,,
4/19/17,F low ,,10,,,1998,,,19980,,199800,,,,
4/19/17,F Tank 2,,10,,,1520,,,15200,,152000,,,,
4/19/17,Gooseneck tank,,10,,,1008,,,10080,,100800,,,,
4/19/17,P1 high ,,10,,,88,,,880,,8800,,,,
4/19/17,P1 low ,,10,,,78,,,780,,7800,,,,
4/19/17,P1 Tank ,,10,,,100,,,1000,,10000,,,,
4/19/17,P2 high ,,10,,,380,,,3800,,38000,,,,
4/19/17,P2 low ,,10,,,164,,,1640,,16400,,,,
4/19/17,P2 Tank ,,10,,,228,,,2280,,22800,,,,
4/19/17,P5.5 Town Sump,,10,,,272,,,2720,,27200,,,,
4/19/17,P5.5 Well Sump,,10,,,548,,,5480,,54800,,,,
4/19/17,P6 high ,,10,,,88,,,880,,8800,,,,
4/19/17,P6 low ,,10,,,164,,,1640,,16400,,,,
4/19/17,P6 Tank ,,10,,,164,,,1640,,16400,,,,
4/19/17,P7 High,,10,,,592,,,5920,,59200,,,,
4/19/17,P7 low,,10,,,528,,,5280,,52800,,,,
4/19/17,P7 Tank ,,10,,,784,,,7840,,78400,,,,
4/19/17,River Discharge,,10,,,3088,,,30880,,308800,,,,
4/26/17,A high ,,10,,,132,,,1320,,13200,,,,
4/26/17,A low ,,10,,,1,,,10,,100,,,,
4/26/17,A Tank 1,,10,,,0,,,0,,0,,,,
4/26/17,b bio,,10,,,536,,,5360,,53600,,,,
4/26/17,B high ,,10,,,592,,,5920,,59200,,,,
4/26/17,B low ,,10,,,552,,,5520,,55200,,,,
4/26/17,B Tank 5,,10,,,590,,,5900,,59000,,,,
4/26/17,c bio,,10,,,328,,,3280,,32800,,,,
4/26/17,C high ,,10,,,480,,,4800,,48000,,,,
4/26/17,C low ,,10,,,458,,,4580,,45800,,,,
4/26/17,C Tank 2,,10,,,504,,,5040,,50400,,,,
4/26/17,D high ,,10,,,536,,,5360,,53600,,,,
4/26/17,D low ,,10,,,40,,,400,,4000,,,,
4/26/17,D Tank 2,,10,,,32,,,320,,3200,,,,
4/26/17,D top of Bio,,10,,,28,,,280,,2800,,,,
4/26/17,E Bio North,,10,,,296,,,2960,,29600,,,,
4/26/17,E Bio South,,10,,,198,,,1980,,19800,,,,
4/26/17,E high ,,10,,,304,,,3040,,30400,,,,
4/26/17,E low ,,10,,,128,,,1280,,12800,,,,
4/26/17,E Tank 3,,10,,,184,,,1840,,18400,,,,
4/26/17,F high ,,10,,,528,,,5280,,52800,,,,
4/26/17,F low ,,10,,,298,,,2980,,29800,,,,
4/26/17,F Tank 4,,10,,,328,,,3280,,32800,,,,
4/26/17,Gooseneck tank,,10,,,272,,,2720,,27200,,,,
4/26/17,P1 high ,,10,,,128,,,1280,,12800,,,,
4/26/17,P1 low ,,10,,,112,,,1120,,11200,,,,
4/26/17,P1 Tank ,,10,,,108,,,1080,,10800,,,,
4/26/17,P2 high ,,10,,,40,,,400,,4000,,,,
4/26/17,P2 low ,,10,,,32,,,320,,3200,,,,
4/26/17,P2 Tank ,,10,,,32,,,320,,3200,,,,
4/26/17,P5.5 Town Sump,,10,,,432,,,4320,,43200,,,,
4/26/17,P5.5 Well Sump,,10,,,2496,,,24960,,249600,,,,
4/26/17,P6 high ,,10,,,80,,,800,,8000,,,,
4/26/17,P6 low ,,10,,,42,,,420,,4200,,,,
4/26/17,P6 Tank ,,10,,,E,,,#VALUE!,,#VALUE!,,,,
4/26/17,P7 High,,10,,,464,,,4640,,46400,,,,
4/26/17,P7 low,,10,,,496,,,4960,,49600,,,,
4/26/17,P7 Tank ,,10,,,388,,,3880,,38800,,,,
4/26/17,River Discharge,,10,,,96,,,960,,9600,,,,
5/3/17,A high ,,10,,,108,,,1080,,10800,,,,
5/3/17,A low ,,10,,,0,,,0,,0,,,,
5/3/17,A Tank 1,,10,,,226,,,2260,,22600,,,,
5/3/17,B high ,,10,,,188,,,1880,,18800,,,,
5/3/17,B low ,,10,,,104,,,1040,,10400,,,,
5/3/17,B Tank 5,,10,,,240,,,2400,,24000,,,,
5/3/17,C high ,,10,,,392,,,3920,,39200,,,,
5/3/17,C low ,,10,,,176,,,1760,,17600,,,,
5/3/17,C Tank 2,,10,,,356,,,3560,,35600,,,,
5/3/17,D high ,,10,,,136,,,1360,,13600,,,,
5/3/17,D low ,,10,,,88,,,880,,8800,,,,
5/3/17,D Tank 2,,10,,,208,,,2080,,20800,,,,
5/3/17,E Bio North,,10,,,268,,,2680,,26800,,,,
5/3/17,E Bio South,,10,,,228,,,2280,,22800,,,,
5/3/17,E high ,,10,,,512,,,5120,,51200,,,,
5/3/17,E low ,,10,,,188,,,1880,,18800,,,,
5/3/17,E Tank 4,,10,,,144,,,1440,,14400,,,,
5/3/17,F high ,,10,,,128,,,1280,,12800,,,,
5/3/17,F low ,,10,,,148,,,1480,,14800,,,,
5/3/17,F Tank 2,,10,,,142,,,1420,,14200,,,,
5/3/17,Gooseneck tank,,10,,,96,sm gray (strep like),,960,,9600,,,,
5/3/17,P1 high ,,10,,,184," black colonies, swarmers",,1840,,18400,,,,
5/3/17,P1 low ,,10,,,148,sm gray (strep like),,1480,,14800,,,,
5/3/17,P1 Tank ,,10,,,144,sm gray (strep like),,1440,,14400,,,,
5/3/17,P2 high ,,10,,,132,,,1320,,13200,,,,
5/3/17,P2 low ,,10,,,84,,,840,,8400,,,,
5/3/17,P2 Tank ,,10,,,164,,,1640,,16400,,,,
5/3/17,P5.5 Town Sump,,10,,,736,,,7360,,73600,,,,
5/3/17,P5.5 Well Sump,,10,,,512,,,5120,,51200,,,,
5/3/17,P6 high ,,10,,,88,,,880,,8800,,,,
5/3/17,P6 low ,,10,,,326,,,3260,,32600,,,,
5/3/17,P6 Tank ,,10,,,96,,,960,,9600,,,,
5/3/17,P7 High,,10,,,992,,,9920,,99200,,,,
5/3/17,P7 low,,10,,,886,,,8860,,88600,,,,
5/3/17,P7 Tank ,,10,,,1020,,,10200,,102000,,,,
5/3/17,River Discharge,,10,,,OR,solid colonization.,,#VALUE!,,#VALUE!,,,,
5/16/17,B bio,,10,,,144,,,1440,,,,,,
5/16/17,B low ,,10,,,86,,,860,,,,,,
5/16/17,B plenum,,10,,,208,,,2080,,,,,,
5/17/17,A high ,,10,,,624,,,6240,,62400,,,,
5/17/17,A low ,,10,,,0,,,0,,0,,,,
5/17/17,A Tank 2,,10,,,1152,,,11520,,115200,,,,
5/17/17,b bio,,10,,,416,,,4160,,41600,,,,
5/17/17,B high ,,10,,,480,,,4800,,48000,,,,
5/17/17,B low ,,10,,,320,,,3200,,32000,,,,
5/17/17,B sump post drum,,10,,,480,,,4800,,48000,,,,
5/17/17,B Tank 1,,10,,,256,,,2560,,25600,,,,
5/17/17,c bio,,10,,,104,,,1040,,10400,,,,
5/17/17,C high ,,10,,,784,,,7840,,78400,,,,
5/17/17,C low ,,10,,,80,,,800,,8000,,,,
5/17/17,C sump post drum,,10,,,336,,,3360,,33600,,,,
5/17/17,C Tank 1,,10,,,136,,,1360,,13600,,,,
5/17/17,D high ,,10,,,280,,,2800,,28000,,,,
5/17/17,D low ,,10,,,40,,,400,,4000,,,,
5/17/17,D sump post drum,,10,,,196,,,1960,,19600,,,,
5/17/17,D Tank 1,,10,,,1552,,,15520,,155200,,,,
5/17/17,D top of Bio,,10,,,72,,,720,,7200,,,,
5/17/17,E Bio North,,10,,,368,,,3680,,36800,,,,
5/17/17,E Bio South,,10,,,384,,,3840,,38400,,,,
5/17/17,E high ,,10,,,360,,,3600,,36000,,,,
5/17/17,E low ,,10,,,240,,,2400,,24000,,,,
5/17/17,E Tank 4,,10,,,248,,,2480,,24800,,,,
5/17/17,F Bio North,,10,,,204,,,2040,,20400,,,,
5/17/17,F Bio South,,10,,,210,,,2100,,21000,,,,
5/17/17,F high ,,10,,,208,,,2080,,20800,,,,
5/17/17,F low ,,10,,,128,,,1280,,12800,,,,
5/17/17,A high ,,10,,,112,,,1120,,,,,,
5/17/17,A low ,,10,,,108,,,1080,,10800,,,,
5/17/17,A Tank 3,,10,,,856,,,8560,,85600,,,,
5/17/17,b bio,,10,,,672,,,6720,,67200,,,,
5/17/17,B high ,,10,,,432,,,4320,,43200,,,,
5/17/17,B low ,,10,,,256,,,2560,,25600,,,,
5/17/17,B sump post drum,,10,,,192,,,1920,,19200,,,,
5/17/17,B Tank 2,,10,,,,,,0,,0,,,,
5/17/17,c bio,,10,,,,,,0,,0,,,,
5/17/17,C high ,,10,,,120,,,1200,,12000,,,,
5/17/17,C low ,,10,,,416,,,4160,,41600,,,,
5/17/17,C sump post drum,,10,,,400,,,4000,,40000,,,,
5/17/17,C Tank 2,,10,,,168,,,1680,,16800,,,,
5/17/17,P7 sump post drum,,10,,,256,,,2560,,25600,,,,
5/17/17,P7 top of Bio,,10,,,1220,,,12200,,122000,,,,
5/17/17,River Discharge,,10,,,1260,,,12600,,126000,,,,
5/25/17,b bio,,10,,,160,,,1600,,16000,,,,
5/25/17,B high ,,10,,,344,,,3440,,34400,,,,
5/25/17,B low ,,10,,,112,,,1120,,11200,,,,
5/25/17,B sump post drum,,10,,,768,,,7680,,76800,,,,
5/25/17,c bio,,10,,,60,,,600,,6000,,,,
5/25/17,C high ,,10,,,36,,,360,,3600,,,,
5/25/17,C low ,,10,,,108,,,1080,,10800,,,,
5/25/17,C sump post drum,,10,,,78,,,780,,7800,,,,
5/25/17,D high ,,10,,,168,,,1680,,16800,,,,
5/25/17,D low ,,10,,,112,,,1120,,11200,,,,
5/25/17,D sump post drum,,10,,,288,,,2880,,28800,,,,
5/25/17,D top of Bio,,10,,,162,,,1620,,16200,,,,
5/25/17,E Bio North,,10,,,402,,,4020,,40200,,,,
5/25/17,E Bio South,,10,,,148,,,1480,,14800,,,,
5/25/17,E high ,,10,,,268,,,2680,,26800,,,,
5/25/17,E low ,,10,,,184,,,1840,,18400,,,,
5/25/17,F high ,,10,,,296,,,2960,,29600,,,,
5/25/17,F low ,,10,,,88,,,880,,8800,,,,
5/25/17,holding tank bay 3,,10,,,68,,,680,,6800,,,,
5/25/17,P1 high ,,10,,,184,,,1840,,18400,,,,
5/25/17,P1 low ,,10,,,224,,,2240,,22400,,,,
5/25/17,P2 high ,,10,,,412,,,4120,,41200,,,,
5/25/17,P2 low ,,10,,,304,,,3040,,30400,,,,
5/25/17,P6 high ,,10,,,104,,,1040,,10400,,,,
5/25/17,P6 low ,,10,,,186,,,1860,,18600,,,,
5/25/17,P7 High,,10,,,128,,,1280,,12800,,,,
5/25/17,P7 low,,10,,,148,,,1480,,14800,,,,
5/25/17,P7 sump post drum,,10,,,110,,,1100,,11000,,,,
5/25/17,P7 top of Bio,,10,,,380,,,3800,,38000,,,,
6/1/17,b bio,,10,,,40,,,400,,4000,,,,
6/1/17,B high ,,10,,,68,,,680,,6800,,,,
6/1/17,B low ,,10,,,112,,,1120,,11200,,,,
6/1/17,B sump post drum,,10,,,104,,,1040,,10400,,,,
6/1/17,c bio,,10,,,208,black swarmer,,2080,,20800,,,,
6/1/17,C high ,,10,,,432,black swarmer,,4320,,43200,,,,
6/1/17,C low ,,10,,,256,black swarmer,,2560,,25600,,,,
6/1/17,C sump post drum,,10,,,400,black swarmer,,4000,,40000,,,,
6/1/17,D high ,,10,,,296,,,2960,,29600,,,,
6/1/17,D low ,,10,,,100,,,1000,,10000,,,,
6/1/17,D sump post drum,,10,,,224,,,2240,,22400,,,,
6/1/17,D top of Bio,,10,,,96,,,960,,9600,,,,
6/1/17,E Bio North,,10,,,208,high numbers sm gray,,2080,,20800,,,,
6/1/17,E Bio South,,10,,,136,high numbers sm gray,,1360,,13600,,,,
6/1/17,E high ,,10,,,124,high numbers sm gray,,1240,,12400,,,,
6/1/17,E low ,,10,,,136,high numbers sm gray,,1360,,13600,,,,
6/1/17,F high ,,10,,,96,,,960,,9600,,,,
6/1/17,F low ,,10,,,46,,,460,,4600,,,,
6/1/17,P1 high ,,10,,,344,,,3440,,34400,,,,
6/1/17,P1 low ,,10,,,272,,,2720,,27200,,,,
6/1/17,P2 high ,,10,,,176,,,1760,,17600,,,,
6/1/17,P2 low ,,10,,,48,,,480,,4800,,,,
6/1/17,P5 tank,,10,,,768,,,7680,,76800,,,,
6/1/17,P6 high ,,10,,,52,,,520,,5200,,,,
6/1/17,P6 low ,,10,,,136,,,1360,,13600,,,,
6/1/17,P7 High,,10,,,416,,,4160,,41600,,,,
6/1/17,P7 low,,10,,,148,,,1480,,14800,,,,
6/1/17,P7 top of Bio,,10,,,152,,,1520,,15200,,,,
6/1/17,,,,,,,,,,,,,,,
6/9/17,A high ,,10,,,184,,,1840,,18400,,,,
6/9/17,A low ,,10,,,1,,,10,,100,,,,
6/9/17,b bio,,10,,,168,,,1680,,16800,,,,
6/9/17,B high ,,10,,,496,,,4960,,49600,,,,
6/9/17,B low ,,10,,,64,,,640,,6400,,,,
6/9/17,B sump post drum,,10,,,352,black swarmer,,3520,,35200,,,,
6/9/17,c bio,,10,,,88,,,880,,8800,,,,
6/9/17,C high ,,10,,,592,,,5920,,59200,,,,
